T_score_TREE_DEPTH_1,H_score_TREE_DEPTH_1,T_score_TREE_DEPTH_2,H_score_TREE_DEPTH_2,T_score_TREE_DEPTH_3,H_score_TREE_DEPTH_3,,,Train_error_TREE_DEPTH_1,Test_error_TREE_DEPTH_1,Train_error_TREE_DEPTH_2,Test_error_TREE_DEPTH_2,Train_error_TREE_DEPTH_3,Test_error_TREE_DEPTH_3
0.935716462,0.938724259,0.97390068,0.966348569,0.994719204,0.981416374,,,0.064283538,0.061275741,0.02609932,0.033651431,0.005280796,0.018583626
0.936630446,0.939226519,0.973697573,0.966850829,0.995531634,0.982923154,,,0.063369554,0.060773481,0.026302427,0.033149171,0.004468366,0.017076846
0.936021123,0.938724259,0.974002234,0.966348569,0.996140957,0.983425414,,,0.063978877,0.061275741,0.025997766,0.033651431,0.003859043,0.016574586
0.936630446,0.94023104,0.974306896,0.968859869,0.996953387,0.983425414,,,0.063369554,0.05976896,0.025693104,0.031140131,0.003046613,0.016574586
0.935411801,0.939226519,0.975525541,0.967855349,0.997054941,0.983425414,,,0.064588199,0.060773481,0.024474459,0.032144651,0.002945059,0.016574586
0.936732,0.93972878,0.976236417,0.967855349,0.997867371,0.984932195,,,0.063268,0.06027122,0.023763583,0.032144651,0.002132629,0.015067805
0.936630446,0.938724259,0.976642632,0.96936213,0.998984462,0.983927675,,,0.063369554,0.061275741,0.023357368,0.03063787,0.001015538,0.016072325
0.937645984,0.93972878,0.977962831,0.96986439,0.998781355,0.982420894,,,0.062354016,0.06027122,0.022037169,0.03013561,0.001218645,0.017579106
0.936732,0.939226519,0.978775262,0.96986439,0.999289124,0.984932195,,,0.063268,0.060773481,0.021224738,0.03013561,0.000710876,0.015067805
0.937950645,0.93972878,0.978369046,0.96986439,0.999086016,0.984429935,,,0.062049355,0.06027122,0.021630954,0.03013561,0.000913984,0.015570065
0.93754443,0.938724259,0.979079923,0.96936213,0.999289124,0.984429935,,,0.06245557,0.061275741,0.020920077,0.03063787,0.000710876,0.015570065
0.938966183,0.9407333,0.979384584,0.97086891,0.999492231,0.985434455,,,0.061033817,0.0592667,0.020615416,0.02913109,0.000507769,0.014565545
0.938052199,0.937217479,0.979587692,0.97036665,0.999695339,0.985936715,,,0.061947801,0.062782521,0.020412308,0.02963335,0.000304661,0.014063285
0.940794151,0.942742341,0.979993907,0.97086891,0.999593785,0.984932195,,,0.059205849,0.057257659,0.020006093,0.02913109,0.000406215,0.015067805
0.940997258,0.93972878,0.979790799,0.97086891,0.999695339,0.985434455,,,0.059002742,0.06027122,0.020209201,0.02913109,0.000304661,0.014565545
